Cor, Quantidade
0,12256
1,112642
2,300648
3,530993
4,717424
5,686440
6,403344
7,200676
8,151881
9,159776
10,198647
11,223492
12,238522
13,242924
14,250979
15,257176
16,252994
17,229875
18,204766
19,191973
20,201713
21,201822
22,200871
23,180375
24,166362
25,168427
26,176934
27,185305
28,192955
29,174350
30,167483
31,165715
32,151483
33,141035
34,135611
35,133247
36,132699
37,135030
38,134005
39,133061
40,139543
41,153803
42,172129
43,192705
44,192844
45,183166
46,173371
47,152105
48,139260
49,126195
50,109426
51,103109
52,92860
53,89330
54,82938
55,73095
56,68637
57,64983
58,61702
59,58255
60,53882
61,50566
62,47122
63,46239
64,40938
65,31360
66,24463
67,20906
68,18476
69,16215
70,14373
71,13222
72,11842
73,9900
74,9108
75,8844
76,10536
77,12878
78,15381
79,19771
80,22798
81,21916
82,17980
83,14215
84,13558
85,14826
86,17538
87,19342
88,18052
89,14026
90,9429
91,4666
92,1922
93,896
94,635
95,408
96,220
97,81
98,34
99,5
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
