Cor, Quantidade
0,12256
1,124898
2,425546
3,956539
4,1673963
5,2360403
6,2763747
7,2964423
8,3116304
9,3276080
10,3474727
11,3698219
12,3936741
13,4179665
14,4430644
15,4687820
16,4940814
17,5170689
18,5375455
19,5567428
20,5769141
21,5970963
22,6171834
23,6352209
24,6518571
25,6686998
26,6863932
27,7049237
28,7242192
29,7416542
30,7584025
31,7749740
32,7901223
33,8042258
34,8177869
35,8311116
36,8443815
37,8578845
38,8712850
39,8845911
40,8985454
41,9139257
42,9311386
43,9504091
44,9696935
45,9880101
46,10053472
47,10205577
48,10344837
49,10471032
50,10580458
51,10683567
52,10776427
53,10865757
54,10948695
55,11021790
56,11090427
57,11155410
58,11217112
59,11275367
60,11329249
61,11379815
62,11426937
63,11473176
64,11514114
65,11545474
66,11569937
67,11590843
68,11609319
69,11625534
70,11639907
71,11653129
72,11664971
73,11674871
74,11683979
75,11692823
76,11703359
77,11716237
78,11731618
79,11751389
80,11774187
81,11796103
82,11814083
83,11828298
84,11841856
85,11856682
86,11874220
87,11893562
88,11911614
89,11925640
90,11935069
91,11939735
92,11941657
93,11942553
94,11943188
95,11943596
96,11943816
97,11943897
98,11943931
99,11943936
100,11943936
101,11943936
102,11943936
103,11943936
104,11943936
105,11943936
106,11943936
107,11943936
108,11943936
109,11943936
110,11943936
111,11943936
112,11943936
113,11943936
114,11943936
115,11943936
116,11943936
117,11943936
118,11943936
119,11943936
120,11943936
121,11943936
122,11943936
123,11943936
124,11943936
125,11943936
126,11943936
127,11943936
128,11943936
129,11943936
130,11943936
131,11943936
132,11943936
133,11943936
134,11943936
135,11943936
136,11943936
137,11943936
138,11943936
139,11943936
140,11943936
141,11943936
142,11943936
143,11943936
144,11943936
145,11943936
146,11943936
147,11943936
148,11943936
149,11943936
150,11943936
151,11943936
152,11943936
153,11943936
154,11943936
155,11943936
156,11943936
157,11943936
158,11943936
159,11943936
160,11943936
161,11943936
162,11943936
163,11943936
164,11943936
165,11943936
166,11943936
167,11943936
168,11943936
169,11943936
170,11943936
171,11943936
172,11943936
173,11943936
174,11943936
175,11943936
176,11943936
177,11943936
178,11943936
179,11943936
180,11943936
181,11943936
182,11943936
183,11943936
184,11943936
185,11943936
186,11943936
187,11943936
188,11943936
189,11943936
190,11943936
191,11943936
192,11943936
193,11943936
194,11943936
195,11943936
196,11943936
197,11943936
198,11943936
199,11943936
200,11943936
201,11943936
202,11943936
203,11943936
204,11943936
205,11943936
206,11943936
207,11943936
208,11943936
209,11943936
210,11943936
211,11943936
212,11943936
213,11943936
214,11943936
215,11943936
216,11943936
217,11943936
218,11943936
219,11943936
220,11943936
221,11943936
222,11943936
223,11943936
224,11943936
225,11943936
226,11943936
227,11943936
228,11943936
229,11943936
230,11943936
231,11943936
232,11943936
233,11943936
234,11943936
235,11943936
236,11943936
237,11943936
238,11943936
239,11943936
240,11943936
241,11943936
242,11943936
243,11943936
244,11943936
245,11943936
246,11943936
247,11943936
248,11943936
249,11943936
250,11943936
251,11943936
252,11943936
253,11943936
254,11943936
255,11943936
