Cor, Quantidade
0,12256
1,0
2,112642
3,0
4,0
5,0
6,0
7,0
8,0
9,300648
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,530993
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,717424
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,686440
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,403344
60,0
61,0
62,0
63,200676
64,0
65,0
66,151881
67,0
68,0
69,159776
70,0
71,0
72,0
73,0
74,198647
75,0
76,0
77,132699
78,223492
79,0
80,135030
81,0
82,0
83,134005
84,238522
85,0
86,133061
87,0
88,0
89,382467
90,0
91,0
92,153803
93,0
94,250979
95,0
96,172129
97,0
98,0
99,0
100,449881
101,0
102,0
103,0
104,192844
105,252994
106,0
107,0
108,183166
109,0
110,229875
111,0
112,173371
113,0
114,204766
115,152105
116,0
117,0
118,331233
119,0
120,126195
121,0
122,0
123,311139
124,0
125,103109
126,0
127,294682
128,0
129,89330
130,0
131,283809
132,73095
133,0
134,68637
135,245358
136,61702
137,0
138,58255
139,220244
140,50566
141,47122
142,214666
143,72298
144,45369
145,49064
146,221006
147,47639
148,42569
149,54111
150,231227
151,37394
152,32322
153,0
154,192955
155,0
156,0
157,0
158,174350
159,0
160,0
161,167483
162,0
163,0
164,0
165,165715
166,0
167,0
168,151483
169,0
170,0
171,141035
172,0
173,0
174,135611
175,0
176,0
177,133247
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
