0 , 4447 , 1 , 13074 , 17522 , 2048 x 2048 , compute-641-12
0 , 4438 , 2 , 12799 , 17239 , 2048 x 2048 , compute-641-12
0 , 4427 , 2 , 12686 , 17115 , 2048 x 2048 , compute-641-12
0 , 4446 , 2 , 13052 , 17500 , 2048 x 2048 , compute-641-12
0 , 4405 , 1 , 13147 , 17553 , 2048 x 2048 , compute-641-12
0 , 4441 , 1 , 12966 , 17408 , 2048 x 2048 , compute-641-12
0 , 4395 , 1 , 12812 , 17208 , 2048 x 2048 , compute-641-12
0 , 4411 , 1 , 13454 , 17866 , 2048 x 2048 , compute-641-12
0 , 4399 , 1 , 13096 , 17496 , 2048 x 2048 , compute-641-12
0 , 4416 , 1 , 13368 , 17785 , 2048 x 2048 , compute-641-12
0 , 4404 , 1 , 13005 , 17410 , 2048 x 2048 , compute-641-12
0 , 4400 , 2 , 12874 , 17277 , 2048 x 2048 , compute-641-12
0 , 4395 , 1 , 12679 , 17075 , 2048 x 2048 , compute-641-12
0 , 4382 , 1 , 13222 , 17605 , 2048 x 2048 , compute-641-12
0 , 4391 , 1 , 12918 , 17310 , 2048 x 2048 , compute-641-12
0 , 4397 , 2 , 13273 , 17672 , 2048 x 2048 , compute-641-12
0 , 4374 , 1 , 13413 , 17788 , 2048 x 2048 , compute-641-12
0 , 4370 , 1 , 13180 , 17551 , 2048 x 2048 , compute-641-12
0 , 4388 , 2 , 13361 , 17751 , 2048 x 2048 , compute-641-12
0 , 4352 , 2 , 13078 , 17432 , 2048 x 2048 , compute-641-12
0 , 4374 , 1 , 13432 , 17807 , 2048 x 2048 , compute-641-12
0 , 4363 , 1 , 13426 , 17791 , 2048 x 2048 , compute-641-12
0 , 4419 , 1 , 12680 , 17100 , 2048 x 2048 , compute-641-12
0 , 4385 , 1 , 12977 , 17363 , 2048 x 2048 , compute-641-12
0 , 4401 , 2 , 13313 , 17716 , 2048 x 2048 , compute-641-12
0 , 4369 , 1 , 13263 , 17633 , 2048 x 2048 , compute-641-12
0 , 4384 , 1 , 12825 , 17211 , 2048 x 2048 , compute-641-12
0 , 4418 , 2 , 12618 , 17038 , 2048 x 2048 , compute-641-12
0 , 4426 , 2 , 12814 , 17242 , 2048 x 2048 , compute-641-12
0 , 4403 , 1 , 13177 , 17581 , 2048 x 2048 , compute-641-12
0 , 4419 , 1 , 12656 , 17076 , 2048 x 2048 , compute-641-12
0 , 4430 , 1 , 13098 , 17529 , 2048 x 2048 , compute-641-12
0 , 4443 , 1 , 13417 , 17861 , 2048 x 2048 , compute-641-12
0 , 4425 , 2 , 12870 , 17297 , 2048 x 2048 , compute-641-12
0 , 4453 , 2 , 13154 , 17609 , 2048 x 2048 , compute-641-12
0 , 4425 , 2 , 13341 , 17768 , 2048 x 2048 , compute-641-12
0 , 4430 , 1 , 12899 , 17331 , 2048 x 2048 , compute-641-12
0 , 4410 , 3 , 12863 , 17276 , 2048 x 2048 , compute-641-12
0 , 4420 , 1 , 13076 , 17497 , 2048 x 2048 , compute-641-12
0 , 4414 , 2 , 13260 , 17677 , 2048 x 2048 , compute-641-12
0 , 4412 , 2 , 12947 , 17361 , 2048 x 2048 , compute-641-12
0 , 4402 , 1 , 13018 , 17421 , 2048 x 2048 , compute-641-12
0 , 4412 , 2 , 13395 , 17810 , 2048 x 2048 , compute-641-12
0 , 4397 , 2 , 12914 , 17313 , 2048 x 2048 , compute-641-12
0 , 4389 , 3 , 12811 , 17204 , 2048 x 2048 , compute-641-12
0 , 4394 , 1 , 12929 , 17324 , 2048 x 2048 , compute-641-12
0 , 4378 , 2 , 13152 , 17532 , 2048 x 2048 , compute-641-12
0 , 4379 , 3 , 13212 , 17594 , 2048 x 2048 , compute-641-12
0 , 4380 , 1 , 13119 , 17501 , 2048 x 2048 , compute-641-12
0 , 4399 , 2 , 13000 , 17402 , 2048 x 2048 , compute-641-12
0 , 16773 , 2 , 53582 , 70357 , 4096 x 4096 , compute-641-12
0 , 16847 , 3 , 51809 , 68659 , 4096 x 4096 , compute-641-12
0 , 16808 , 3 , 52387 , 69198 , 4096 x 4096 , compute-641-12
0 , 16824 , 2 , 51925 , 68751 , 4096 x 4096 , compute-641-12
0 , 16827 , 3 , 51897 , 68727 , 4096 x 4096 , compute-641-12
0 , 16844 , 2 , 52000 , 68846 , 4096 x 4096 , compute-641-12
0 , 16807 , 3 , 51784 , 68594 , 4096 x 4096 , compute-641-12
0 , 16849 , 2 , 52497 , 69348 , 4096 x 4096 , compute-641-12
0 , 16780 , 2 , 52164 , 68946 , 4096 x 4096 , compute-641-12
0 , 16822 , 2 , 51867 , 68691 , 4096 x 4096 , compute-641-12
0 , 16743 , 2 , 52716 , 69461 , 4096 x 4096 , compute-641-12
0 , 16829 , 3 , 52479 , 69311 , 4096 x 4096 , compute-641-12
0 , 16828 , 2 , 52660 , 69490 , 4096 x 4096 , compute-641-12
0 , 16813 , 2 , 52325 , 69140 , 4096 x 4096 , compute-641-12
0 , 16798 , 3 , 52165 , 68966 , 4096 x 4096 , compute-641-12
0 , 16799 , 2 , 51829 , 68630 , 4096 x 4096 , compute-641-12
0 , 16796 , 3 , 52296 , 69095 , 4096 x 4096 , compute-641-12
0 , 16767 , 2 , 52066 , 68835 , 4096 x 4096 , compute-641-12
0 , 16806 , 3 , 52467 , 69276 , 4096 x 4096 , compute-641-12
0 , 16767 , 2 , 51929 , 68698 , 4096 x 4096 , compute-641-12
0 , 16810 , 2 , 51854 , 68666 , 4096 x 4096 , compute-641-12
0 , 16763 , 3 , 52016 , 68782 , 4096 x 4096 , compute-641-12
0 , 16804 , 2 , 52048 , 68854 , 4096 x 4096 , compute-641-12
0 , 16760 , 2 , 51852 , 68614 , 4096 x 4096 , compute-641-12
0 , 16811 , 3 , 51925 , 68739 , 4096 x 4096 , compute-641-12
0 , 16738 , 3 , 52145 , 68886 , 4096 x 4096 , compute-641-12
0 , 16828 , 3 , 52415 , 69246 , 4096 x 4096 , compute-641-12
0 , 16788 , 2 , 52579 , 69369 , 4096 x 4096 , compute-641-12
0 , 16845 , 2 , 52161 , 69008 , 4096 x 4096 , compute-641-12
0 , 16809 , 3 , 51906 , 68718 , 4096 x 4096 , compute-641-12
0 , 16803 , 2 , 52507 , 69312 , 4096 x 4096 , compute-641-12
0 , 16791 , 3 , 52425 , 69219 , 4096 x 4096 , compute-641-12
0 , 16788 , 3 , 52028 , 68819 , 4096 x 4096 , compute-641-12
0 , 16779 , 2 , 52128 , 68909 , 4096 x 4096 , compute-641-12
0 , 16767 , 3 , 52192 , 68962 , 4096 x 4096 , compute-641-12
0 , 16766 , 2 , 51925 , 68693 , 4096 x 4096 , compute-641-12
0 , 16744 , 3 , 52284 , 69031 , 4096 x 4096 , compute-641-12
0 , 16754 , 3 , 51942 , 68700 , 4096 x 4096 , compute-641-12
0 , 16729 , 3 , 52602 , 69334 , 4096 x 4096 , compute-641-12
0 , 16733 , 3 , 52093 , 68829 , 4096 x 4096 , compute-641-12
0 , 16768 , 2 , 52115 , 68885 , 4096 x 4096 , compute-641-12
0 , 16760 , 3 , 52697 , 69460 , 4096 x 4096 , compute-641-12
0 , 16774 , 2 , 52214 , 68990 , 4096 x 4096 , compute-641-12
0 , 16782 , 2 , 52345 , 69129 , 4096 x 4096 , compute-641-12
0 , 16758 , 2 , 52526 , 69286 , 4096 x 4096 , compute-641-12
0 , 16762 , 3 , 52443 , 69208 , 4096 x 4096 , compute-641-12
0 , 16801 , 2 , 52674 , 69477 , 4096 x 4096 , compute-641-12
0 , 16743 , 3 , 52405 , 69151 , 4096 x 4096 , compute-641-12
0 , 16838 , 3 , 51928 , 68769 , 4096 x 4096 , compute-641-12
0 , 16761 , 2 , 51992 , 68755 , 4096 x 4096 , compute-641-12
0 , 67114 , 2 , 213881 , 280997 , 8192 x 8192 , compute-641-12
0 , 66025 , 2 , 209022 , 275050 , 8192 x 8192 , compute-641-12
0 , 65945 , 2 , 209047 , 274994 , 8192 x 8192 , compute-641-12
0 , 66009 , 2 , 208687 , 274698 , 8192 x 8192 , compute-641-12
0 , 65933 , 2 , 208917 , 274852 , 8192 x 8192 , compute-641-12
0 , 65967 , 3 , 208979 , 274950 , 8192 x 8192 , compute-641-12
0 , 65959 , 2 , 209022 , 274984 , 8192 x 8192 , compute-641-12
0 , 65928 , 2 , 208692 , 274622 , 8192 x 8192 , compute-641-12
0 , 65960 , 2 , 208855 , 274817 , 8192 x 8192 , compute-641-12
0 , 65949 , 3 , 208602 , 274554 , 8192 x 8192 , compute-641-12
0 , 65936 , 3 , 209201 , 275140 , 8192 x 8192 , compute-641-12
0 , 66016 , 2 , 208620 , 274638 , 8192 x 8192 , compute-641-12
0 , 65942 , 3 , 209135 , 275080 , 8192 x 8192 , compute-641-12
0 , 65951 , 3 , 208815 , 274769 , 8192 x 8192 , compute-641-12
0 , 65921 , 2 , 208506 , 274429 , 8192 x 8192 , compute-641-12
0 , 65879 , 2 , 208720 , 274601 , 8192 x 8192 , compute-641-12
0 , 65964 , 2 , 209025 , 274991 , 8192 x 8192 , compute-641-12
0 , 65943 , 2 , 208507 , 274452 , 8192 x 8192 , compute-641-12
