0 , 19603 , 3 , 59628 , 79234 , 4096 x 4096 , compute-662-5
0 , 23642 , 2 , 65255 , 88899 , 4096 x 4096 , compute-662-5
0 , 19580 , 3 , 60265 , 79848 , 4096 x 4096 , compute-662-5
0 , 19604 , 3 , 59703 , 79310 , 4096 x 4096 , compute-662-5
0 , 19564 , 2 , 60197 , 79763 , 4096 x 4096 , compute-662-5
0 , 19611 , 3 , 59557 , 79172 , 4096 x 4096 , compute-662-5
0 , 19569 , 3 , 59625 , 79197 , 4096 x 4096 , compute-662-5
0 , 19605 , 3 , 59553 , 79161 , 4096 x 4096 , compute-662-5
0 , 19575 , 3 , 59838 , 79416 , 4096 x 4096 , compute-662-5
0 , 19602 , 3 , 60153 , 79758 , 4096 x 4096 , compute-662-5
1 , 23665 , 2 , 60033 , 83700 , 4096 x 4096 , compute-662-5
1 , 25420 , 2 , 62666 , 88088 , 4096 x 4096 , compute-662-5
1 , 23668 , 3 , 60199 , 83871 , 4096 x 4096 , compute-662-5
1 , 23620 , 2 , 60430 , 84052 , 4096 x 4096 , compute-662-5
1 , 23640 , 3 , 60307 , 83950 , 4096 x 4096 , compute-662-5
1 , 23625 , 2 , 59850 , 83477 , 4096 x 4096 , compute-662-5
1 , 23679 , 2 , 60402 , 84084 , 4096 x 4096 , compute-662-5
1 , 23624 , 2 , 60132 , 83758 , 4096 x 4096 , compute-662-5
1 , 24964 , 2 , 62480 , 87446 , 4096 x 4096 , compute-662-5
1 , 23653 , 3 , 59677 , 83333 , 4096 x 4096 , compute-662-5
2 , 13622 , 1 , 30558 , 44181 , 4096 x 4096 , compute-662-5
2 , 13555 , 2 , 30636 , 44194 , 4096 x 4096 , compute-662-5
2 , 13624 , 2 , 30963 , 44590 , 4096 x 4096 , compute-662-5
2 , 13585 , 2 , 30913 , 44500 , 4096 x 4096 , compute-662-5
2 , 13608 , 2 , 31041 , 44651 , 4096 x 4096 , compute-662-5
2 , 13600 , 2 , 31055 , 44657 , 4096 x 4096 , compute-662-5
2 , 13574 , 2 , 30832 , 44408 , 4096 x 4096 , compute-662-5
2 , 13565 , 2 , 31161 , 44728 , 4096 x 4096 , compute-662-5
2 , 13580 , 2 , 30987 , 44569 , 4096 x 4096 , compute-662-5
2 , 13544 , 2 , 30572 , 44118 , 4096 x 4096 , compute-662-5
3 , 9397 , 3 , 20223 , 29623 , 4096 x 4096 , compute-662-5
3 , 9431 , 2 , 20316 , 29749 , 4096 x 4096 , compute-662-5
3 , 9457 , 3 , 20215 , 29675 , 4096 x 4096 , compute-662-5
3 , 9215 , 2 , 20736 , 29953 , 4096 x 4096 , compute-662-5
3 , 9417 , 2 , 20597 , 30016 , 4096 x 4096 , compute-662-5
3 , 9435 , 3 , 20166 , 29604 , 4096 x 4096 , compute-662-5
3 , 9426 , 2 , 20193 , 29621 , 4096 x 4096 , compute-662-5
3 , 9435 , 3 , 20276 , 29714 , 4096 x 4096 , compute-662-5
3 , 9419 , 3 , 20667 , 30089 , 4096 x 4096 , compute-662-5
3 , 9482 , 3 , 20102 , 29587 , 4096 x 4096 , compute-662-5
4 , 8130 , 2 , 15938 , 24070 , 4096 x 4096 , compute-662-5
4 , 8114 , 2 , 16083 , 24200 , 4096 x 4096 , compute-662-5
4 , 8157 , 2 , 16632 , 24791 , 4096 x 4096 , compute-662-5
4 , 8158 , 5 , 15730 , 23893 , 4096 x 4096 , compute-662-5
4 , 8189 , 2 , 15982 , 24173 , 4096 x 4096 , compute-662-5
4 , 8175 , 3 , 15747 , 23925 , 4096 x 4096 , compute-662-5
4 , 8196 , 3 , 16224 , 24423 , 4096 x 4096 , compute-662-5
4 , 8211 , 2 , 15807 , 24020 , 4096 x 4096 , compute-662-5
4 , 8163 , 3 , 15864 , 24030 , 4096 x 4096 , compute-662-5
4 , 8188 , 2 , 16354 , 24544 , 4096 x 4096 , compute-662-5
5 , 6794 , 2 , 12615 , 19412 , 4096 x 4096 , compute-662-5
5 , 6899 , 2 , 12718 , 19619 , 4096 x 4096 , compute-662-5
5 , 6660 , 3 , 12645 , 19308 , 4096 x 4096 , compute-662-5
5 , 6642 , 2 , 12739 , 19383 , 4096 x 4096 , compute-662-5
5 , 6721 , 2 , 12613 , 19336 , 4096 x 4096 , compute-662-5
5 , 6663 , 2 , 12659 , 19324 , 4096 x 4096 , compute-662-5
5 , 6609 , 3 , 12611 , 19223 , 4096 x 4096 , compute-662-5
5 , 6575 , 3 , 12636 , 19214 , 4096 x 4096 , compute-662-5
5 , 6297 , 3 , 12751 , 19052 , 4096 x 4096 , compute-662-5
5 , 6393 , 3 , 12652 , 19048 , 4096 x 4096 , compute-662-5
6 , 5380 , 3 , 11096 , 16479 , 4096 x 4096 , compute-662-5
6 , 5919 , 2 , 11024 , 16946 , 4096 x 4096 , compute-662-5
6 , 5494 , 3 , 10982 , 16479 , 4096 x 4096 , compute-662-5
6 , 6658 , 2 , 11143 , 17803 , 4096 x 4096 , compute-662-5
6 , 6286 , 2 , 11338 , 17626 , 4096 x 4096 , compute-662-5
6 , 5954 , 3 , 11185 , 17142 , 4096 x 4096 , compute-662-5
6 , 5693 , 2 , 10961 , 16656 , 4096 x 4096 , compute-662-5
6 , 6616 , 3 , 10796 , 17415 , 4096 x 4096 , compute-662-5
6 , 5902 , 3 , 11166 , 17071 , 4096 x 4096 , compute-662-5
6 , 6518 , 2 , 10680 , 17200 , 4096 x 4096 , compute-662-5
7 , 6032 , 3 , 9410 , 15445 , 4096 x 4096 , compute-662-5
7 , 6000 , 3 , 9788 , 15791 , 4096 x 4096 , compute-662-5
7 , 6451 , 2 , 9845 , 16299 , 4096 x 4096 , compute-662-5
7 , 5859 , 3 , 9797 , 15659 , 4096 x 4096 , compute-662-5
7 , 5854 , 2 , 9673 , 15529 , 4096 x 4096 , compute-662-5
7 , 5962 , 2 , 9639 , 15603 , 4096 x 4096 , compute-662-5
7 , 5922 , 3 , 9811 , 15736 , 4096 x 4096 , compute-662-5
7 , 5793 , 2 , 9696 , 15492 , 4096 x 4096 , compute-662-5
7 , 5057 , 2 , 9814 , 14873 , 4096 x 4096 , compute-662-5
7 , 6475 , 2 , 10261 , 16738 , 4096 x 4096 , compute-662-5
8 , 5567 , 3 , 9732 , 15302 , 4096 x 4096 , compute-662-5
8 , 5559 , 3 , 9118 , 14680 , 4096 x 4096 , compute-662-5
8 , 6665 , 3 , 8846 , 15514 , 4096 x 4096 , compute-662-5
8 , 5688 , 2 , 8634 , 14325 , 4096 x 4096 , compute-662-5
8 , 5661 , 3 , 9116 , 14780 , 4096 x 4096 , compute-662-5
8 , 5457 , 2 , 8423 , 13882 , 4096 x 4096 , compute-662-5
8 , 6670 , 2 , 9027 , 15699 , 4096 x 4096 , compute-662-5
8 , 5569 , 2 , 9466 , 15037 , 4096 x 4096 , compute-662-5
8 , 7100 , 2 , 9471 , 16573 , 4096 x 4096 , compute-662-5
8 , 6803 , 2 , 9945 , 16750 , 4096 x 4096 , compute-662-5
9 , 5827 , 2 , 8041 , 13870 , 4096 x 4096 , compute-662-5
9 , 6017 , 3 , 8106 , 14126 , 4096 x 4096 , compute-662-5
9 , 5266 , 2 , 8057 , 13325 , 4096 x 4096 , compute-662-5
9 , 5873 , 3 , 8244 , 14120 , 4096 x 4096 , compute-662-5
9 , 4268 , 2 , 7937 , 12207 , 4096 x 4096 , compute-662-5
9 , 5703 , 2 , 8240 , 13946 , 4096 x 4096 , compute-662-5
9 , 5473 , 3 , 8073 , 13549 , 4096 x 4096 , compute-662-5
9 , 4837 , 2 , 8006 , 12845 , 4096 x 4096 , compute-662-5
9 , 4942 , 3 , 7920 , 12865 , 4096 x 4096 , compute-662-5
9 , 4979 , 3 , 7876 , 12858 , 4096 x 4096 , compute-662-5
10 , 6207 , 2 , 8164 , 14373 , 4096 x 4096 , compute-662-5
10 , 6405 , 2 , 7487 , 13894 , 4096 x 4096 , compute-662-5
10 , 6314 , 2 , 7800 , 14116 , 4096 x 4096 , compute-662-5
10 , 6234 , 3 , 7876 , 14113 , 4096 x 4096 , compute-662-5
10 , 4618 , 2 , 7276 , 11896 , 4096 x 4096 , compute-662-5
10 , 6303 , 2 , 7688 , 13993 , 4096 x 4096 , compute-662-5
10 , 6471 , 2 , 7603 , 14076 , 4096 x 4096 , compute-662-5
10 , 6176 , 3 , 7797 , 13976 , 4096 x 4096 , compute-662-5
10 , 6470 , 2 , 7735 , 14207 , 4096 x 4096 , compute-662-5
10 , 6810 , 2 , 8229 , 15041 , 4096 x 4096 , compute-662-5
11 , 6051 , 3 , 7594 , 13648 , 4096 x 4096 , compute-662-5
11 , 6240 , 2 , 6892 , 13134 , 4096 x 4096 , compute-662-5
11 , 4943 , 3 , 7247 , 12193 , 4096 x 4096 , compute-662-5
11 , 5933 , 2 , 7491 , 13426 , 4096 x 4096 , compute-662-5
11 , 4701 , 2 , 7241 , 11944 , 4096 x 4096 , compute-662-5
11 , 6747 , 2 , 7455 , 14204 , 4096 x 4096 , compute-662-5
11 , 6020 , 3 , 7375 , 13398 , 4096 x 4096 , compute-662-5
