0 , 4704 , 3 , 15041 , 19749 , 2048 x 2048 , compute-662-4
0 , 4591 , 1 , 15113 , 19705 , 2048 x 2048 , compute-662-4
0 , 4583 , 1 , 14655 , 19239 , 2048 x 2048 , compute-662-4
0 , 4580 , 1 , 14935 , 19516 , 2048 x 2048 , compute-662-4
0 , 4607 , 1 , 14463 , 19071 , 2048 x 2048 , compute-662-4
2 , 3212 , 1 , 7822 , 11035 , 2048 x 2048 , compute-662-4
2 , 545463 , 2 , 8872 , 554337 , 2048 x 2048 , critical
2 , 3175 , 2 , 6604 , 9781 , 2048 x 2048 , compute-662-4
2 , 306728 , 2 , 8193 , 314923 , 2048 x 2048 , critical
2 , 3195 , 1 , 7092 , 10288 , 2048 x 2048 , compute-662-4
2 , 443160 , 2 , 7074 , 450236 , 2048 x 2048 , critical
2 , 3187 , 2 , 7114 , 10303 , 2048 x 2048 , compute-662-4
2 , 638977 , 2 , 6405 , 645384 , 2048 x 2048 , critical
2 , 3190 , 1 , 6098 , 9289 , 2048 x 2048 , compute-662-4
2 , 523528 , 2 , 8401 , 531931 , 2048 x 2048 , critical
4 , 1911 , 2 , 4330 , 6244 , 2048 x 2048 , compute-662-4
4 , 758984 , 2 , 4721 , 763707 , 2048 x 2048 , critical
4 , 1923 , 2 , 3519 , 5444 , 2048 x 2048 , compute-662-4
4 , 838027 , 3 , 4196 , 842226 , 2048 x 2048 , critical
4 , 1848 , 1 , 4504 , 6354 , 2048 x 2048 , compute-662-4
4 , 1124548 , 1 , 4116 , 1128665 , 2048 x 2048 , critical
4 , 1973 , 1 , 3939 , 5913 , 2048 x 2048 , compute-662-4
4 , 844106 , 2 , 4002 , 848110 , 2048 x 2048 , critical
4 , 1950 , 2 , 3534 , 5487 , 2048 x 2048 , compute-662-4
4 , 888317 , 2 , 3918 , 892237 , 2048 x 2048 , critical
6 , 2045 , 1 , 2822 , 4868 , 2048 x 2048 , compute-662-4
6 , 937697 , 1 , 2968 , 940666 , 2048 x 2048 , critical
6 , 1501 , 2 , 2906 , 4409 , 2048 x 2048 , compute-662-4
6 , 1217479 , 18 , 2760 , 1220257 , 2048 x 2048 , critical
6 , 1390 , 1 , 2785 , 4176 , 2048 x 2048 , compute-662-4
6 , 1043106 , 2 , 2991 , 1046099 , 2048 x 2048 , critical
6 , 1527 , 2 , 2814 , 4343 , 2048 x 2048 , compute-662-4
6 , 954069 , 2 , 2872 , 956943 , 2048 x 2048 , critical
6 , 1520 , 1 , 2946 , 4467 , 2048 x 2048 , compute-662-4
6 , 978413 , 3 , 2775 , 981191 , 2048 x 2048 , critical
8 , 1379 , 2 , 2110 , 3492 , 2048 x 2048 , compute-662-4
8 , 1221890 , 2 , 3262 , 1225154 , 2048 x 2048 , critical
8 , 1546 , 1 , 2011 , 3559 , 2048 x 2048 , compute-662-4
8 , 1061181 , 2 , 3367 , 1064550 , 2048 x 2048 , critical
8 , 1598 , 2 , 2352 , 3952 , 2048 x 2048 , compute-662-4
8 , 1089803 , 2 , 2757 , 1092562 , 2048 x 2048 , critical
8 , 1388 , 1 , 2927 , 4316 , 2048 x 2048 , compute-662-4
8 , 999053 , 2 , 2886 , 1001941 , 2048 x 2048 , critical
8 , 1590 , 1 , 1976 , 3567 , 2048 x 2048 , compute-662-4
8 , 876116 , 2 , 2616 , 878734 , 2048 x 2048 , critical
10 , 1394 , 1 , 2369 , 3764 , 2048 x 2048 , compute-662-4
10 , 1330346 , 2 , 2479 , 1332827 , 2048 x 2048 , critical
10 , 1653 , 1 , 2221 , 3875 , 2048 x 2048 , compute-662-4
10 , 1169139 , 3 , 2448 , 1171590 , 2048 x 2048 , critical
10 , 1606 , 2 , 2283 , 3891 , 2048 x 2048 , compute-662-4
10 , 1137057 , 2 , 2144 , 1139203 , 2048 x 2048 , critical
10 , 1546 , 1 , 2180 , 3727 , 2048 x 2048 , compute-662-4
10 , 1103397 , 2 , 2427 , 1105826 , 2048 x 2048 , critical
10 , 1546 , 2 , 2318 , 3867 , 2048 x 2048 , compute-662-4
10 , 1206284 , 1 , 2429 , 1208714 , 2048 x 2048 , critical
12 , 1401 , 1 , 3075 , 4477 , 2048 x 2048 , compute-662-4
12 , 1303228 , 2 , 2191 , 1305421 , 2048 x 2048 , critical
