0 , 4730 , 2 , 15169 , 19901 , 2048 x 2048 , compute-662-4
0 , 4612 , 1 , 15654 , 20267 , 2048 x 2048 , compute-662-4
0 , 4657 , 1 , 15083 , 19741 , 2048 x 2048 , compute-662-4
0 , 4644 , 1 , 15259 , 19904 , 2048 x 2048 , compute-662-4
0 , 4620 , 3 , 15155 , 19778 , 2048 x 2048 , compute-662-4
1 , 5749 , 2 , 15394 , 21145 , 2048 x 2048 , compute-662-4
1 , 5740 , 3 , 15095 , 20838 , 2048 x 2048 , loop4
1 , 5767 , 2 , 14873 , 20642 , 2048 x 2048 , loop8
1 , 5729 , 2 , 15519 , 21250 , 2048 x 2048 , compute-662-4
1 , 5728 , 2 , 15193 , 20923 , 2048 x 2048 , loop4
1 , 5740 , 2 , 15414 , 21157 , 2048 x 2048 , loop8
1 , 5741 , 2 , 15694 , 21437 , 2048 x 2048 , compute-662-4
1 , 5751 , 2 , 15012 , 20765 , 2048 x 2048 , loop4
1 , 5768 , 2 , 14955 , 20725 , 2048 x 2048 , loop8
1 , 5772 , 2 , 14700 , 20474 , 2048 x 2048 , compute-662-4
1 , 5762 , 2 , 14779 , 20543 , 2048 x 2048 , loop4
1 , 5757 , 2 , 14919 , 20678 , 2048 x 2048 , loop8
1 , 5732 , 3 , 15104 , 20839 , 2048 x 2048 , compute-662-4
1 , 5744 , 2 , 14932 , 20678 , 2048 x 2048 , loop4
1 , 5744 , 2 , 15270 , 21016 , 2048 x 2048 , loop8
2 , 3213 , 2 , 7958 , 11173 , 2048 x 2048 , compute-662-4
2 , 3201 , 2 , 6107 , 9310 , 2048 x 2048 , loop4
2 , 3191 , 2 , 6407 , 9601 , 2048 x 2048 , loop8
2 , 3189 , 2 , 6233 , 9424 , 2048 x 2048 , compute-662-4
2 , 3180 , 1 , 6401 , 9582 , 2048 x 2048 , loop4
2 , 3196 , 2 , 6338 , 9536 , 2048 x 2048 , loop8
2 , 3180 , 2 , 6313 , 9495 , 2048 x 2048 , compute-662-4
2 , 3199 , 1 , 6186 , 9386 , 2048 x 2048 , loop4
2 , 3187 , 1 , 6140 , 9328 , 2048 x 2048 , loop8
2 , 3178 , 1 , 6090 , 9269 , 2048 x 2048 , compute-662-4
2 , 3174 , 2 , 6190 , 9366 , 2048 x 2048 , loop4
2 , 3187 , 2 , 6224 , 9413 , 2048 x 2048 , loop8
2 , 3194 , 2 , 6281 , 9478 , 2048 x 2048 , compute-662-4
2 , 3177 , 2 , 6243 , 9422 , 2048 x 2048 , loop4
2 , 3183 , 2 , 6027 , 9212 , 2048 x 2048 , loop8
3 , 2289 , 2 , 5231 , 7522 , 2048 x 2048 , compute-662-4
3 , 2244 , 2 , 5371 , 7617 , 2048 x 2048 , loop4
3 , 2938 , 1 , 5913 , 8853 , 2048 x 2048 , loop8
3 , 2252 , 2 , 5341 , 7596 , 2048 x 2048 , compute-662-4
3 , 2253 , 1 , 5294 , 7548 , 2048 x 2048 , loop4
