0 , 4397 , 1 , 13869 , 18267 , 2048 x 2048 , compute-641-8
0 , 4390 , 2 , 13728 , 18120 , 2048 x 2048 , compute-641-8
0 , 4375 , 1 , 13333 , 17709 , 2048 x 2048 , compute-641-8
0 , 4398 , 2 , 12889 , 17289 , 2048 x 2048 , compute-641-8
0 , 4374 , 3 , 13401 , 17779 , 2048 x 2048 , compute-641-8
2 , 5896 , 21 , 8054 , 13972 , 2048 x 2048 , sem_nowait
2 , 5910 , 8 , 8871 , 14789 , 2048 x 2048 , sem_schedulle
2 , 5943 , 8 , 8774 , 14726 , 2048 x 2048 , sem_nowait
2 , 5890 , 8 , 7864 , 13762 , 2048 x 2048 , sem_schedulle
2 , 3867 , 4 , 6953 , 10824 , 2048 x 2048 , sem_nowait
2 , 5885 , 8 , 6704 , 12597 , 2048 x 2048 , sem_schedulle
2 , 5901 , 7 , 7095 , 13003 , 2048 x 2048 , sem_nowait
2 , 5903 , 21 , 8330 , 14254 , 2048 x 2048 , sem_schedulle
2 , 3660 , 4 , 6286 , 9950 , 2048 x 2048 , sem_nowait
2 , 5886 , 8 , 7044 , 12938 , 2048 x 2048 , sem_schedulle
4 , 3210 , 5 , 6239 , 9454 , 2048 x 2048 , sem_nowait
4 , 3247 , 4 , 5249 , 8500 , 2048 x 2048 , sem_schedulle
4 , 2946 , 5 , 4037 , 6988 , 2048 x 2048 , sem_nowait
4 , 3098 , 4 , 6044 , 9146 , 2048 x 2048 , sem_schedulle
4 , 3245 , 4 , 5537 , 8786 , 2048 x 2048 , sem_nowait
4 , 3007 , 4 , 4209 , 7220 , 2048 x 2048 , sem_schedulle
4 , 2837 , 4 , 6423 , 9265 , 2048 x 2048 , sem_nowait
4 , 3223 , 5 , 4354 , 7582 , 2048 x 2048 , sem_schedulle
4 , 2530 , 4 , 3676 , 6210 , 2048 x 2048 , sem_nowait
4 , 2972 , 4 , 6557 , 9533 , 2048 x 2048 , sem_schedulle
6 , 2330 , 5 , 4291 , 6626 , 2048 x 2048 , sem_nowait
6 , 2050 , 4 , 4441 , 6495 , 2048 x 2048 , sem_schedulle
6 , 2308 , 4 , 3878 , 6190 , 2048 x 2048 , sem_nowait
6 , 2356 , 4 , 3263 , 5623 , 2048 x 2048 , sem_schedulle
6 , 2267 , 4 , 3008 , 5279 , 2048 x 2048 , sem_nowait
6 , 2012 , 5 , 2936 , 4953 , 2048 x 2048 , sem_schedulle
6 , 2261 , 5 , 4921 , 7187 , 2048 x 2048 , sem_nowait
6 , 2304 , 4 , 4383 , 6691 , 2048 x 2048 , sem_schedulle
6 , 2282 , 4 , 3579 , 5866 , 2048 x 2048 , sem_nowait
6 , 2083 , 5 , 4555 , 6643 , 2048 x 2048 , sem_schedulle
8 , 2033 , 5 , 3560 , 5599 , 2048 x 2048 , sem_nowait
8 , 1879 , 4 , 3073 , 4956 , 2048 x 2048 , sem_schedulle
8 , 1848 , 4 , 3455 , 5307 , 2048 x 2048 , sem_nowait
8 , 1848 , 5 , 3432 , 5285 , 2048 x 2048 , sem_schedulle
8 , 1985 , 4 , 3398 , 5387 , 2048 x 2048 , sem_nowait
8 , 2054 , 4 , 2745 , 4803 , 2048 x 2048 , sem_schedulle
8 , 2109 , 4 , 3181 , 5294 , 2048 x 2048 , sem_nowait
8 , 1934 , 5 , 2321 , 4260 , 2048 x 2048 , sem_schedulle
8 , 1985 , 4 , 2625 , 4615 , 2048 x 2048 , sem_nowait
8 , 1878 , 5 , 2634 , 4517 , 2048 x 2048 , sem_schedulle
10 , 1681 , 4 , 2615 , 4301 , 2048 x 2048 , sem_nowait
10 , 1785 , 4 , 2388 , 4177 , 2048 x 2048 , sem_schedulle
10 , 1867 , 4 , 2673 , 4544 , 2048 x 2048 , sem_nowait
10 , 1943 , 5 , 2494 , 4442 , 2048 x 2048 , sem_schedulle
